Inconsistent Star Records: 
The following [6796] records are dropped because same [name] [birthYear] exist in the database
Star Details - Name:Renee StCyr, BirthYear:1907.
Star Details - Name:Albert Dekker, BirthYear:1905.
Star Details - Name:John RhysDavies, BirthYear:.
Star Details - Name:Buck Henry, BirthYear:1930.
Star Details - Name:Marie Lohr, BirthYear:1890.
Star Details - Name:Martita Hunt, BirthYear:1900.
Star Details - Name:Zsa Zsa Gabor, BirthYear:1917.
Star Details - Name:Sven-Bertil Taube, BirthYear:.
Star Details - Name:Bronson Pinchot, BirthYear:.
Star Details - Name:Jack Watson, BirthYear:1921.
Star Details - Name:William Frawley, BirthYear:1887.
Star Details - Name:Sofia Coppola, BirthYear:.
Star Details - Name:Derek Jacobi, BirthYear:1938.
Star Details - Name:Ruth Chatterton, BirthYear:1893.
Star Details - Name:Mary Beth Hughes, BirthYear:1919.
Star Details - Name:Hildegard Knef, BirthYear:1925.
Star Details - Name:Charon Bourke, BirthYear:.
Star Details - Name:Kim Hunter, BirthYear:1922.
Star Details - Name:Robert Watson, BirthYear:1888.
Star Details - Name:Sir George Robey, BirthYear:1869.
Star Details - Name:Neil Connery, BirthYear:1938.
Star Details - Name:Ray Danton, BirthYear:1931.
Star Details - Name:Suzanne Christian, BirthYear:.
Star Details - Name:Jack MacGowran, BirthYear:1916.
Star Details - Name:Abel Gance, BirthYear:.
Star Details - Name:Jeff Morrow, BirthYear:1913.
Star Details - Name:Charles Fields, BirthYear:.
Star Details - Name:John Warwich, BirthYear:1905.
Star Details - Name:Nova Pilbeam, BirthYear:1919.
Star Details - Name:John Waters, BirthYear:.
Star Details - Name:Mary Blake, BirthYear:1896.
Star Details - Name:Art Metrano, BirthYear:1937.
Star Details - Name:Vivian Wu, BirthYear:.
Star Details - Name:John Foster, BirthYear:.
